latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
50.05795,128.78497,309.16,1.02,1.01,2023-04-09,0206,T,68,6.1NRT,277.09,10.7,D
50.05608,128.79895,321.61,1.02,1.01,2023-04-09,0206,T,81,6.1NRT,276.59,21.45,D
50.0472,128.79613,329.95,1.02,1.01,2023-04-09,0206,T,87,6.1NRT,277.98,29.66,D
50.00792,128.81287,308.02,1.02,1.01,2023-04-09,0206,T,66,6.1NRT,279.31,8.63,D
49.84795,129.0386,300.9,1.01,1.01,2023-04-09,0206,T,43,6.1NRT,282.02,4.27,D
49.84607,129.05238,307.39,1.01,1.01,2023-04-09,0206,T,65,6.1NRT,282.09,8.27,D
49.83291,129.14857,303.26,1.01,1.01,2023-04-09,0206,T,55,6.1NRT,283.01,5.03,D
49.82408,129.14574,304.38,1.01,1.01,2023-04-09,0206,T,59,6.1NRT,282.98,5.65,D
49.79759,129.13721,302.55,1.01,1.01,2023-04-09,0206,T,53,6.1NRT,283.33,5.01,D
48.99325,133.42645,301.04,1.16,1.07,2023-04-09,0206,T,44,6.1NRT,283.3,7.32,D
49.70113,128.54701,304.42,1.03,1.01,2023-04-09,0206,T,59,6.1NRT,286.54,4.47,D
48.62419,134.47755,329.29,1.28,1.12,2023-04-09,0206,T,66,6.1NRT,283.44,37.51,D
48.61451,134.4734,319.5,1.28,1.12,2023-04-09,0206,T,78,6.1NRT,280.81,23.62,D
48.61528,134.46791,320.37,1.28,1.12,2023-04-09,0206,T,80,6.1NRT,279.4,25.22,D
48.98828,131.21642,311.16,1.02,1.01,2023-04-09,0206,T,71,6.1NRT,277.49,14.42,D
47.77122,135.6609,303.7,1.5,1.21,2023-04-09,0206,T,57,6.1NRT,284.93,12.47,D
49.09865,126.89072,300.03,1.1,1.05,2023-04-09,0206,T,21,6.1NRT,282.19,4.95,D
49.09686,126.90565,326.88,1.1,1.05,2023-04-09,0206,T,85,6.1NRT,283.8,30.19,D
48.82243,124.39113,307.13,1.35,1.15,2023-04-09,0206,T,50,6.1NRT,290.29,7.92,D
48.8206,124.4095,308.13,1.35,1.15,2023-04-09,0206,T,58,6.1NRT,289.41,9.47,D
48.81219,124.38885,307.02,1.35,1.15,2023-04-09,0206,T,35,6.1NRT,290.5,7.52,D
47.65383,132.49692,302.85,1.13,1.06,2023-04-09,0206,T,26,6.1NRT,286.97,4.9,D
48.48143,125.88076,311.32,1.17,1.08,2023-04-09,0206,T,69,6.1NRT,292.48,7.37,D
47.61184,131.46831,302,1.06,1.03,2023-04-09,0206,T,50,6.1NRT,287.07,3.71,D
48.37286,125.76818,322.55,1.18,1.08,2023-04-09,0206,T,81,6.1NRT,292.87,20.92,D
47.5189,131.68228,303.53,1.08,1.04,2023-04-09,0206,T,56,6.1NRT,287.54,4.36,D
48.25925,126.29866,308.1,1.13,1.06,2023-04-09,0206,T,58,6.1NRT,293.45,4.48,D
